City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
114,Kahului,US,80.83,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
119,Mpanda,TZ,76.6,overcast clouds,-6.3655,31.0409,CH Hotel - Mpanda
122,Rapar,IN,78.08,clear sky,23.5667,70.6333,Dharamshi Bapa’s Home
127,Kieta,PG,79.23,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
128,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
132,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
136,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
139,Robertsport,LR,80.67,light rain,6.7533,-11.3686,Kwepunha Retreat
141,Farafangana,MG,75.92,broken clouds,-22.8167,47.8333,Miarina
146,Lamu,KE,79.02,clear sky,-2.2717,40.902,Lamu House
150,Manta,EC,80.38,broken clouds,-0.95,-80.7333,Balandra Hotel
151,Danville,US,78.85,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
154,Carutapera,BR,83.86,few clouds,-1.195,-46.02,Lidera
161,Banjarmasin,ID,77.14,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
163,Labuan,MY,78.96,thunderstorm,5.2767,115.2417,Tiara Labuan Hotel
168,Lompoc,US,75.02,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
173,Sorong,ID,80.2,overcast clouds,-0.8833,131.25,waigo splash hotel
178,Porangatu,BR,87.24,overcast clouds,-13.4408,-49.1486,Wembley Park Hotel
184,Gizo,SB,82.17,scattered clouds,-8.103,156.8419,Imagination Island
186,Nautla,MX,83.89,overcast clouds,20.2167,-96.7833,Casa Blanca
188,Acapulco,MX,80.94,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
191,Soyo,AO,77.7,overcast clouds,-6.1349,12.3689,Hotel Mpampa
193,Tomatlan,MX,89.24,overcast clouds,19.9333,-105.25,El Salvial
199,Vilhena,BR,75.42,thunderstorm with light rain,-12.7406,-60.1458,Hotel Mirage
203,Aguada De Pasajeros,CU,87.93,overcast clouds,22.385,-80.8508,Soles de Marti
208,Sokoni,TZ,78.66,clear sky,-6.4333,39.55,Ujamaa Beach Resort
210,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
211,Daru,PG,79.23,broken clouds,-9.0763,143.2092,Daru Lodge
212,Bilma,NE,87.37,clear sky,18.6853,12.9164,Expeditions Ténére voyages
215,Bairiki,KI,78.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
221,Les Cayes,HT,84.13,few clouds,18.2,-73.75,Villa Orphee
230,Loandjili,CG,80.71,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
231,Bambanglipuro,ID,78.12,overcast clouds,-7.95,110.2833,Puri Brata
232,Nchelenge,ZM,77.49,broken clouds,-9.3451,28.734,KD Travellers Home
234,Baracoa,CU,82.85,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
238,Mitsamiouli,KM,79.34,clear sky,-11.3847,43.2844,Foyer ADM
241,Riachao Das Neves,BR,75.9,overcast clouds,-11.7461,-44.91,Casa Costa
244,Sao Filipe,CV,79.63,scattered clouds,14.8961,-24.4956,Hotel Xaguate
247,Bengkulu,ID,75.47,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
251,Hobyo,SO,79.88,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
253,Luwuk,ID,77.27,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
255,The Valley,AI,84.34,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
257,Labuhan,ID,78.69,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
258,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
262,Tual,ID,79.79,moderate rain,-5.6667,132.75,Grand Vilia Hotel
265,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
273,Chandla,IN,77.25,overcast clouds,25.0833,80.2,Rest House
275,Hervey Bay,AU,76.03,few clouds,-25.2986,152.8535,Shelly Bay Resort
279,Harper,LR,77.7,overcast clouds,4.375,-7.7169,Screensaver
282,Hilo,US,79.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
286,Sao Joao Da Barra,BR,80.69,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
288,Nisia Floresta,BR,85.01,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
298,Mananjary,MG,76.71,broken clouds,-21.2167,48.3333,Vahiny Lodge
306,Mangrol,IN,79.32,clear sky,21.1167,70.1167,Hotel The Royal Honours
309,Virginia Beach,US,78.04,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
312,Sao Felix Do Xingu,BR,86.72,broken clouds,-6.6447,-51.995,Rio Xingu Camping
314,Eyl,SO,78.17,broken clouds,7.9803,49.8164,Amiin Hotel
316,Galeana,MX,80.31,overcast clouds,24.8333,-100.0667,Mirador
321,Kongoussi,BF,85.19,broken clouds,13.3258,-1.5347,Hôtel La Sagesse
325,Mogadishu,SO,79.86,few clouds,2.0371,45.3438,Hotel Juba
328,Villa Carlos Paz,AR,82.38,clear sky,-31.4241,-64.4978,Monte Carlo
332,Honiara,SB,79.52,clear sky,-9.4333,159.95,Heritage Park Hotel
333,Kirakira,SB,80.87,few clouds,-10.4544,161.9205,SanBiz Lodge
