City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Puerto Escondido,MX,2021-10-24 14:58:12,15.85,-97.0667,81.61,65,97,3.27
121,East London,ZA,2021-10-24 14:56:13,-33.0153,27.9116,63.9,59,69,11.79
122,Saldanha,ZA,2021-10-24 14:58:13,-33.0117,17.9442,69.85,66,0,22.01
123,Avarua,CK,2021-10-24 14:58:13,-21.2078,-159.775,69.85,68,47,5.75
124,Buta,CD,2021-10-24 14:58:14,2.7858,24.73,74.97,94,54,7.18
125,Port Alfred,ZA,2021-10-24 14:54:12,-33.5906,26.891,63.28,62,37,9.55
126,Codajas,BR,2021-10-24 14:58:14,-3.8367,-62.0569,95.97,42,93,3.87
127,Natal,BR,2021-10-24 14:55:35,-5.795,-35.2094,86.65,62,40,14.97
128,Acarau,BR,2021-10-24 14:58:15,-2.8856,-40.12,86.97,59,99,17.76
129,Umm Lajj,SA,2021-10-24 14:58:15,25.0213,37.2685,80.67,63,0,8.23
130,Nikki,BJ,2021-10-24 14:58:16,9.9401,3.2108,89.56,45,74,6.22
131,Nangomba,TZ,2021-10-24 14:58:16,-10.9,38.5,96.82,19,68,5.66
132,Boa Vista,BR,2021-10-24 14:58:16,2.8197,-60.6733,89.58,55,75,9.22
133,Tandil,AR,2021-10-24 14:58:17,-37.3217,-59.1332,64.22,44,0,11.61
134,Kromy,RU,2021-10-24 14:58:17,52.6876,35.7667,38.14,70,100,14.38
135,Mount Isa,AU,2021-10-24 14:58:17,-20.7333,139.5,78.57,50,91,14.97
136,Wilson,US,2021-10-24 14:54:17,36.1501,-86.2833,69.24,65,75,17.27
137,Beloha,MG,2021-10-24 14:58:18,-25.1667,45.05,78.12,53,0,10.4
138,Chokurdakh,RU,2021-10-24 14:54:45,70.6333,147.9167,-12.17,99,97,3.27
139,Baruun-Urt,MN,2021-10-24 14:58:19,46.6806,113.2792,38.55,38,97,7.52
140,Kortkeros,RU,2021-10-24 14:58:19,61.8106,51.5806,26.6,76,100,3.69
141,Kirakira,SB,2021-10-24 14:55:05,-10.4544,161.9205,79.14,85,40,7.56
142,Damaturu,NG,2021-10-24 14:58:20,11.747,11.9608,97.88,16,100,9.62
143,Hermanus,ZA,2021-10-24 14:58:20,-34.4187,19.2345,66.79,61,0,13.96
144,Vostok,RU,2021-10-24 14:58:20,46.4856,135.8833,31.59,82,0,5.26
145,Tongchuan,CN,2021-10-24 14:58:21,35.0806,109.0897,51.57,83,91,1.81
146,Marawi,PH,2021-10-24 14:56:09,7.9986,124.2928,66.65,90,100,2.04
147,Minab,IR,2021-10-24 14:54:35,27.1467,57.0801,87.3,60,0,8.3
148,Sidi Ali,DZ,2021-10-24 14:58:22,36.0998,0.4206,67.59,52,0,12.57
149,Batsfjord,NO,2021-10-24 14:58:22,70.6345,29.7185,31.78,86,75,5.75
150,Sept-Iles,CA,2021-10-24 14:58:22,50.2001,-66.3821,49.05,96,90,1.01
151,High Rock,BS,2021-10-24 14:58:23,26.6208,-78.2833,78.82,75,100,12.1
152,Isangel,VU,2021-10-24 14:58:23,-19.55,169.2667,73.08,85,44,9.89
153,Bredasdorp,ZA,2021-10-24 14:58:24,-34.5322,20.0403,66.27,44,0,12.15
154,Hamilton,US,2021-10-24 14:58:24,39.1834,-84.5333,57.07,96,90,1.01
155,Beaucaire,FR,2021-10-24 14:58:25,43.8081,4.6442,73.56,45,0,3.44
156,San Felipe,VE,2021-10-24 14:58:25,10.3399,-68.7425,81.46,79,99,1.77
157,Cayenne,GF,2021-10-24 14:58:25,4.9333,-52.3333,86.09,79,75,7.0
158,Zarate,AR,2021-10-24 14:58:26,-34.0981,-59.0286,74.21,24,0,14.92
159,Ayr,GB,2021-10-24 14:58:26,55.4627,-4.6339,60.21,72,40,18.41
160,Kaitangata,NZ,2021-10-24 14:58:27,-46.2817,169.8464,51.06,95,100,1.28
161,Bella Union,UY,2021-10-24 14:58:27,-30.2752,-57.6007,72.09,35,0,4.97
162,Ancud,CL,2021-10-24 14:58:27,-41.8697,-73.8203,58.42,95,100,15.28
163,Xinmin,CN,2021-10-24 14:58:28,41.9908,122.8253,52.29,82,1,10.02
164,Khatanga,RU,2021-10-24 14:58:28,71.9667,102.5,0.36,90,83,16.31
165,Papar,MY,2021-10-24 14:58:29,5.7333,115.9333,80.6,90,85,3.69
166,Alofi,NU,2021-10-24 14:58:29,-19.0595,-169.9187,67.89,83,45,4.61
167,Sao Filipe,CV,2021-10-24 14:58:29,14.8961,-24.4956,80.96,64,11,7.14
168,Price,US,2021-10-24 14:58:30,39.5994,-110.8107,41.72,71,97,0.96
169,Nishihara,JP,2021-10-24 14:58:30,26.1842,127.7558,72.68,83,40,3.44
170,Aracati,BR,2021-10-24 14:58:31,-4.5617,-37.7697,88.88,49,93,15.12
171,Tahta,EG,2021-10-24 14:58:31,26.7693,31.5021,84.52,21,0,16.51
172,Kungsbacka,SE,2021-10-24 14:58:31,57.4872,12.0761,52.25,82,100,15.99
173,Puerto Quijarro,BO,2021-10-24 14:58:32,-17.7833,-57.7667,69.12,95,100,9.78
174,Darhan,MN,2021-10-24 14:58:32,49.4867,105.9228,38.55,51,5,1.45
