City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Kanata,CA,45.3159,-75.8985,54.99,56,75,3.0,broken clouds
136,Vaini,TO,-21.2,-175.2,75.36,78,20,6.91,few clouds
137,Seoul,KR,37.5683,126.9778,47.64,97,20,2.3,mist
138,Klaksvik,FO,62.2266,-6.589,50.92,90,96,23.73,overcast clouds
139,Robertsport,LR,6.7533,-11.3686,80.67,77,100,8.66,light rain
140,Eseka,CM,3.65,10.7667,73.2,100,55,1.7,broken clouds
141,Farafangana,MG,-22.8167,47.8333,75.92,91,56,12.41,broken clouds
142,Saldanha,ZA,-33.0117,17.9442,59.05,76,0,18.9,clear sky
143,Palestina,PS,31.9216,35.2033,62.35,90,0,3.94,clear sky
144,Keetmanshoop,NA,-26.5833,18.1333,70.72,24,0,17.34,clear sky
145,Tautira,PF,-17.7333,-149.15,73.42,90,100,17.87,light rain
146,Lamu,KE,-2.2717,40.902,79.02,87,3,10.38,clear sky
147,Avarua,CK,-21.2078,-159.775,73.45,64,75,13.8,broken clouds
148,Waipawa,NZ,-41.4122,175.5153,56.44,89,99,7.0,overcast clouds
149,Nizhniy Tsasuchey,RU,50.5167,115.1333,35.56,65,43,6.6,scattered clouds
150,Manta,EC,-0.95,-80.7333,80.38,74,75,10.36,broken clouds
151,Danville,US,36.586,-79.395,78.85,43,1,5.75,clear sky
152,Lebu,CL,-37.6167,-73.65,57.51,80,12,9.4,few clouds
153,Oktyabrskiy,RU,54.4815,53.471,37.85,83,10,5.19,clear sky
154,Carutapera,BR,-1.195,-46.02,83.86,72,16,9.35,few clouds
155,Tuatapere,NZ,-46.1333,167.6833,55.27,93,97,3.53,overcast clouds
156,Sumbawanga,TZ,-7.9667,31.6167,69.85,36,17,0.27,few clouds
157,Salinas,US,36.6777,-121.6555,66.99,69,100,13.51,overcast clouds
158,Provideniya,RU,64.3833,-173.3,24.91,58,0,8.95,clear sky
159,Barrow,US,71.2906,-156.7887,28.42,80,90,5.75,overcast clouds
160,Talnakh,RU,69.4865,88.3972,25.07,97,100,5.86,light snow
161,Banjarmasin,ID,-3.3244,114.591,77.14,93,95,1.61,overcast clouds
162,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,87,75,8.05,broken clouds
163,Labuan,MY,5.2767,115.2417,78.96,94,40,0.0,thunderstorm
164,Tunduma,TZ,-9.3,32.7667,68.43,32,9,5.3,clear sky
165,Port Hedland,AU,-20.3167,118.5667,69.85,60,7,4.61,clear sky
166,Bedele,ET,8.456,36.353,55.49,77,30,1.88,scattered clouds
167,Grindavik,IS,63.8424,-22.4338,46.87,93,75,6.91,broken clouds
168,Lompoc,US,34.6391,-120.4579,75.02,66,20,6.91,few clouds
169,Hovd,MN,48.0056,91.6419,33.15,32,0,2.51,clear sky
170,Orlik,RU,52.5178,99.825,29.01,81,100,5.5,overcast clouds
171,Challapata,BO,-18.9,-66.7667,65.73,7,47,24.54,scattered clouds
172,Taltal,CL,-25.4,-70.4833,63.0,70,24,3.87,few clouds
173,Sorong,ID,-0.8833,131.25,80.2,80,99,7.18,overcast clouds
174,Half Moon Bay,US,37.4636,-122.4286,64.89,93,90,24.16,fog
175,Guerrero Negro,MX,27.9769,-114.0611,71.38,55,0,14.5,clear sky
176,Zonguldak,TR,41.25,31.8333,45.95,87,100,3.83,overcast clouds
177,Cabo San Lucas,MX,22.8909,-109.9124,90.61,63,0,7.87,clear sky
178,Porangatu,BR,-13.4408,-49.1486,87.24,49,97,4.12,overcast clouds
179,Icod De Los Vinos,ES,28.3724,-16.7119,71.47,83,41,8.23,scattered clouds
180,Sangar,RU,63.9242,127.4739,20.21,96,100,6.53,light snow
181,Ouegoa,NC,-20.35,164.4333,74.62,77,6,11.52,clear sky
182,San Cristobal,VE,7.7669,-72.225,73.58,49,89,3.71,overcast clouds
183,Pitrufquen,CL,-38.9833,-72.65,59.02,77,90,10.36,overcast clouds
184,Gizo,SB,-8.103,156.8419,82.17,76,32,5.93,scattered clouds
185,Bolanos De Calatrava,ES,38.9069,-3.6635,62.73,48,5,3.36,clear sky
186,Nautla,MX,20.2167,-96.7833,83.89,73,94,6.71,overcast clouds
187,Jiexiu,CN,37.0244,111.9125,50.04,64,20,4.25,few clouds
188,Acapulco,MX,16.8634,-99.8901,80.94,82,100,11.3,overcast clouds
189,Pathein,MM,16.7833,94.7333,73.89,93,96,3.33,overcast clouds
190,Caohe,CN,30.2297,115.4335,56.01,69,100,1.63,light rain
191,Soyo,AO,-6.1349,12.3689,77.7,82,100,10.71,overcast clouds
192,Asau,RO,46.4333,26.4,39.96,70,13,1.25,few clouds
193,Tomatlan,MX,19.9333,-105.25,89.24,59,100,6.11,overcast clouds
194,Akureyri,IS,65.6835,-18.0878,37.33,100,75,6.91,broken clouds
195,Ulladulla,AU,-35.35,150.4667,50.9,85,70,1.21,broken clouds
196,Goksun,TR,38.021,36.4973,49.03,41,6,4.61,clear sky
197,Qandala,SO,11.472,49.8728,81.18,64,1,6.78,clear sky
198,Buta,CD,2.7858,24.73,70.27,99,100,2.21,light rain
199,Vilhena,BR,-12.7406,-60.1458,75.42,78,75,25.32,thunderstorm with light rain
200,Luneville,FR,48.6,6.5,47.62,87,0,5.39,clear sky
201,Beringovskiy,RU,63.05,179.3167,7.72,86,36,7.29,scattered clouds
202,Maputo,MZ,-25.9653,32.5892,68.23,69,100,8.01,overcast clouds
203,Aguada De Pasajeros,CU,22.385,-80.8508,87.93,59,100,10.29,overcast clouds
204,Saint George,US,37.1041,-113.5841,72.07,38,1,1.01,clear sky
